,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year
PHO,PHO,1912,418,2616,6788,0.492,3339,2117,0.77,1631,82,19730,Phoenix Suns,910,1704,365,2391,7165,0.452,3235,2114,0.76,1606,1081,1789,8637,646,1582,0.355,561,3472,1065,5583,0.479,2674,1713,9039,1,479,1770,0.412,730,3526,1210,5018,0.52,2609,2010
GSW,GSW,1839,340,2397,7094,0.469,3329,2085,0.782,1631,82,19730,Golden State Warriors,753,1979,407,2842,7033,0.485,3409,2390,0.767,1832,1100,1757,9217,645,1514,0.375,567,3942,1442,5519,0.515,2842,1886,8922,2,761,1687,0.375,633,3150,1204,5407,0.499,2696,2010
DEN,DEN,1719,417,2505,6678,0.468,3124,2508,0.772,1937,82,19780,Denver Nuggets,889,1723,438,2513,6766,0.456,3088,2207,0.768,1695,955,1943,8394,578,1498,0.349,523,3468,1235,5268,0.487,2565,1844,8729,3,683,1517,0.359,544,3394,1136,5161,0.5,2580,2010
UTA,UTA,2187,400,2588,6575,0.491,3227,2233,0.741,1654,82,19755,Utah Jazz,872,1628,445,2376,6471,0.449,2908,2286,0.762,1741,837,1818,8109,632,1559,0.354,552,3213,1238,4912,0.48,2356,1859,8547,4,675,1207,0.364,439,3460,1246,5368,0.519,2788,2010
TOR,TOR,1804,384,2507,6631,0.482,3199,2118,0.764,1618,82,19780,Toronto Raptors,806,1889,360,2453,6824,0.468,3194,2146,0.784,1683,933,1730,8680,580,1665,0.366,609,3386,1040,5159,0.501,2585,1819,8534,5,469,1397,0.371,518,3313,1100,5234,0.512,2681,2010
ORL,ORL,1615,456,2736,6394,0.47,3005,2176,0.724,1575,82,19730,Orlando Magic,810,1550,288,2481,6739,0.438,2955,1830,0.754,1380,800,1819,7812,551,1437,0.363,522,3281,1050,5302,0.459,2433,1629,8426,6,512,2241,0.375,841,3546,1155,4153,0.521,2164,2010
MEM,MEM,1543,399,2496,6875,0.469,3223,2202,0.733,1614,82,19905,Memphis Grizzlies,1070,1875,501,2349,6849,0.478,3277,1858,0.755,1402,907,1840,8528,635,1618,0.354,572,3256,1165,5231,0.517,2705,1655,8404,7,645,1020,0.337,344,3566,1248,5855,0.492,2879,2010
HOU,HOU,1790,318,2471,6923,0.447,3094,2022,0.772,1561,82,19905,Houston Rockets,971,1716,532,2632,6810,0.475,3236,1917,0.764,1464,875,1840,8425,597,1344,0.364,489,3507,1207,5466,0.503,2747,1712,8395,8,583,1838,0.351,646,3442,1188,5085,0.481,2448,2010
NYK,NYK,1772,305,2477,6876,0.455,3127,1759,0.782,1376,82,19880,New York Knicks,836,1723,368,2724,6902,0.486,3352,1896,0.754,1429,959,1576,8686,585,1571,0.352,553,3683,1182,5331,0.525,2799,1638,8373,9,586,2145,0.346,743,3313,1148,4731,0.504,2384,2010
CLE,CLE,1835,425,2692,6391,0.485,3101,2180,0.72,1569,82,19780,Cleveland Cavaliers,791,1661,325,2366,6633,0.442,2935,1907,0.757,1444,794,1708,7838,542,1511,0.347,524,3160,1045,5122,0.471,2411,1591,8373,10,564,1582,0.381,602,3483,1137,4809,0.52,2499,2010
DAL,DAL,1917,449,2586,6760,0.464,3140,1870,0.816,1526,82,19880,Dallas Mavericks,834,1659,337,2592,6805,0.457,3107,1849,0.758,1402,922,1652,8141,563,1515,0.347,525,3514,1195,5290,0.488,2582,1563,8364,11,624,1498,0.372,558,3420,1059,5262,0.491,2582,2010
LAL,LAL,1730,400,2662,6875,0.457,3144,1985,0.765,1519,82,19830,Los Angeles Lakers,973,1792,363,2546,6840,0.446,3050,1776,0.75,1332,914,1737,7952,573,1585,0.328,520,3460,1159,5255,0.481,2530,1592,8339,12,612,1562,0.341,532,3635,1096,5313,0.492,2612,2010
ATL,ATL,1789,413,2451,6801,0.468,3181,1914,0.759,1452,82,19855,Atlanta Hawks,969,1719,359,2471,6623,0.46,3048,1852,0.745,1380,922,1582,7956,506,1392,0.345,480,3393,1135,5231,0.491,2568,1632,8338,13,592,1455,0.36,524,3420,980,5346,0.497,2657,2010
OKC,OKC,1639,481,2607,6629,0.462,3063,2210,0.805,1778,82,19805,Oklahoma City Thunder,960,1618,384,2397,6718,0.448,3007,2018,0.764,1541,937,1755,8036,616,1414,0.34,481,3334,1238,5304,0.476,2526,1743,8322,14,654,1229,0.34,418,3567,1227,5400,0.49,2645,2010
SAS,SAS,1829,381,2621,6659,0.473,3150,1969,0.74,1458,82,19780,San Antonio Spurs,887,1576,417,2427,6691,0.452,3025,1896,0.756,1433,814,1672,7895,567,1200,0.343,412,3241,1032,5491,0.476,2613,1669,8312,15,516,1547,0.358,554,3508,1116,5112,0.508,2596,2010
IND,IND,1730,439,2618,6823,0.443,3020,2019,0.775,1564,82,19705,Indiana Pacers,785,1694,414,2852,6875,0.453,3113,2346,0.756,1774,969,1709,8510,654,1405,0.363,510,3821,1227,5470,0.476,2603,1848,8263,16,585,1896,0.348,659,3403,1232,4927,0.479,2361,2010
NOH,NOH,1828,300,2450,6842,0.464,3178,1661,0.778,1293,82,19830,New Orleans Hornets,852,1925,367,2586,6730,0.483,3250,1841,0.751,1383,870,1597,8422,574,1517,0.355,539,3456,1177,5213,0.52,2711,1606,8220,17,625,1572,0.363,571,3302,1103,5270,0.495,2607,2010
SAC,SAC,1679,366,2518,6895,0.456,3144,1969,0.726,1430,82,19880,Sacramento Kings,977,1683,468,2538,6828,0.469,3199,2149,0.774,1663,909,1650,8558,586,1391,0.357,497,3447,1120,5437,0.497,2702,1827,8200,18,564,1383,0.349,482,3495,1226,5512,0.483,2662,2010
BOS,BOS,1930,402,2449,6294,0.483,3039,2090,0.746,1559,82,19780,Boston Celtics,716,1585,386,2418,6390,0.451,2880,2152,0.746,1606,868,1777,7836,578,1375,0.342,470,3286,1283,5015,0.481,2410,1816,8136,19,701,1433,0.348,499,3165,1219,4861,0.523,2540,2010
MIN,MIN,1626,306,2556,6923,0.449,3106,1926,0.746,1436,82,19780,Minnesota Timberwolves,962,2103,442,2640,6961,0.48,3343,1981,0.774,1534,917,1686,8838,721,1690,0.366,618,3557,1173,5271,0.517,2725,1699,8051,20,597,1181,0.341,403,3518,1333,5742,0.471,2703,2010
POR,POR,1674,350,2383,6453,0.461,2974,2033,0.79,1606,82,19855,Portland Trail Blazers,913,1583,333,2322,6352,0.464,2950,1870,0.745,1394,801,1767,7774,485,1399,0.343,480,3123,1104,4953,0.499,2470,1715,8045,21,523,1388,0.354,491,3296,1012,5065,0.49,2483,2010
PHI,PHI,1723,439,2421,6706,0.46,3087,1808,0.756,1366,82,19805,Philadelphia 76ers,941,1810,332,2470,6573,0.472,3105,1983,0.766,1518,888,1534,8334,621,1542,0.393,606,3358,1189,5031,0.497,2499,1677,8014,22,667,1381,0.343,474,3362,1192,5325,0.491,2613,2010
MIL,MIL,1740,385,2560,6998,0.436,3050,1675,0.755,1264,82,19980,Milwaukee Bucks,965,1581,421,2722,6361,0.451,2870,2211,0.765,1692,790,1664,7870,573,1276,0.343,438,3512,1254,5085,0.478,2432,1823,8009,23,580,1813,0.356,645,3525,1085,5185,0.464,2405,2010
CHI,CHI,1704,478,2715,6825,0.451,3081,1962,0.754,1479,82,19905,Chicago Bulls,937,1715,438,2589,6885,0.442,3043,1958,0.744,1457,916,1643,8127,578,1680,0.348,584,3505,1090,5205,0.472,2459,1648,7993,24,531,1066,0.33,352,3652,1175,5759,0.474,2729,2010
MIA,MIA,1548,457,2553,6518,0.458,2984,1931,0.752,1452,82,19880,Miami Heat,875,1545,355,2483,6408,0.439,2813,2091,0.754,1577,856,1639,7727,517,1531,0.342,524,3339,1184,4877,0.469,2289,1710,7914,25,605,1426,0.346,494,3428,1079,5092,0.489,2490,2010
WAS,WAS,1557,421,2458,6700,0.449,3008,1895,0.762,1444,82,19830,Washington Wizards,966,1772,415,2530,6664,0.463,3083,2088,0.761,1590,935,1684,8284,569,1466,0.36,528,3465,1115,5198,0.492,2555,1752,7892,26,493,1225,0.353,432,3424,1219,5475,0.471,2576,2010
LAC,LAC,1810,466,2502,6601,0.455,3002,1867,0.73,1362,82,19705,Los Angeles Clippers,927,1926,363,2490,6792,0.47,3193,1910,0.762,1455,879,1588,8370,686,1457,0.363,529,3369,1059,5335,0.499,2664,1581,7849,27,532,1457,0.332,483,3429,1285,5144,0.49,2519,2010
CHA,CHA,1658,446,2490,6306,0.453,2858,2180,0.751,1637,82,19880,Charlotte Bobcats,858,1666,502,2382,6536,0.448,2925,1710,0.743,1270,868,1804,7693,614,1696,0.338,573,3250,1256,4840,0.486,2352,1597,7813,28,632,1331,0.346,460,3348,1290,4975,0.482,2398,2010
DET,DET,1591,313,2242,6602,0.445,2940,1998,0.728,1455,82,19780,Detroit Pistons,1053,1898,401,2420,6172,0.48,2965,2124,0.767,1630,814,1702,8128,549,1514,0.375,568,3234,1174,4658,0.515,2397,1822,7709,29,596,1190,0.314,374,3295,1100,5412,0.474,2566,2010
NJN,NJN,1540,393,2358,6554,0.429,2813,2015,0.78,1572,82,19780,New Jersey Nets,897,1960,421,2683,6593,0.481,3172,2021,0.748,1511,925,1647,8323,638,1278,0.366,468,3608,1149,5315,0.509,2704,1643,7575,30,573,1185,0.318,377,3255,1182,5369,0.454,2436,2010
DEN,DEN,1813,352,2652,6613,0.476,3145,2429,0.765,1859,82,19705,Denver Nuggets,791,1820,488,2525,6876,0.459,3153,2036,0.756,1539,864,1864,8421,611,1675,0.344,576,3389,1127,5201,0.495,2577,1719,8811,1,605,1704,0.388,662,3443,1157,4909,0.506,2483,2011
NYK,NYK,1757,475,2470,6867,0.457,3140,2087,0.809,1689,82,19780,New York Knicks,847,1682,360,2646,6870,0.472,3242,2165,0.762,1650,964,1703,8670,586,1442,0.372,536,3610,1250,5428,0.499,2706,1743,8734,2,625,2081,0.368,765,3317,1123,4786,0.496,2375,2011
HOU,HOU,1955,371,2549,6975,0.454,3170,2083,0.801,1668,82,19880,Houston Rockets,962,1707,449,2552,6979,0.468,3266,1954,0.781,1526,955,1754,8506,588,1250,0.358,448,3507,1125,5729,0.492,2818,1641,8685,3,581,1843,0.367,677,3511,1110,5132,0.486,2493,2011
PHO,PHO,1945,357,2478,6844,0.47,3219,1939,0.759,1472,82,20005,Phoenix Suns,821,1890,356,2647,7018,0.472,3309,1964,0.754,1481,985,1740,8684,644,1595,0.367,585,3632,1189,5423,0.502,2724,1666,8611,4,545,1857,0.377,701,3299,1169,4987,0.505,2518,2011
OKC,OKC,1672,487,2604,6609,0.464,3066,2401,0.823,1977,82,20005,Oklahoma City Thunder,903,1712,356,2395,6823,0.458,3123,2093,0.744,1557,932,1767,8285,587,1335,0.361,482,3327,1152,5488,0.481,2641,1836,8596,5,654,1403,0.347,487,3507,1156,5206,0.495,2579,2011
SAS,SAS,1836,372,2603,6628,0.475,3148,1984,0.767,1521,82,19780,San Antonio Spurs,829,1685,374,2494,6860,0.456,3127,1698,0.766,1301,884,1701,8034,567,1305,0.367,479,3378,1095,5555,0.477,2648,1556,8502,6,602,1727,0.397,685,3432,1101,4901,0.503,2463,2011
GSW,GSW,1847,406,2370,7047,0.461,3251,1695,0.761,1290,82,19830,Golden State Warriors,955,2029,352,2623,6788,0.467,3173,2262,0.776,1755,1051,1512,8668,672,1586,0.358,567,3674,1324,5202,0.501,2606,1806,8477,7,737,1749,0.392,685,3325,1198,5298,0.484,2566,2011
MIA,MIA,1639,430,2666,6301,0.481,3031,2288,0.769,1760,82,19780,Miami Heat,790,1651,246,2349,6614,0.434,2869,1980,0.744,1473,864,1788,7757,574,1584,0.345,546,3213,1081,5030,0.462,2323,1674,8369,8,544,1479,0.37,547,3456,1142,4822,0.515,2484,2011
LAL,LAL,1801,422,2616,6757,0.463,3128,1979,0.779,1541,82,19830,Los Angeles Lakers,989,1827,372,2399,6888,0.437,3008,1628,0.765,1246,1002,1700,7820,585,1668,0.335,558,3401,1116,5220,0.469,2450,1555,8321,9,602,1487,0.352,524,3605,1073,5270,0.494,2604,2011
MIN,MIN,1650,422,2556,7014,0.441,3090,1977,0.768,1519,82,19780,Minnesota Timberwolves,1085,2031,447,2577,6902,0.468,3230,2227,0.778,1733,913,1717,8832,777,1707,0.374,639,3490,1183,5195,0.499,2591,1825,8288,10,592,1565,0.376,589,3641,1398,5449,0.459,2501,2011
DAL,DAL,1954,352,2618,6463,0.475,3069,1850,0.777,1437,82,19705,Dallas Mavericks,780,1689,303,2459,6656,0.45,2996,1830,0.75,1373,880,1650,7873,623,1480,0.343,508,3339,1114,5176,0.481,2488,1575,8220,11,557,1768,0.365,645,3398,1145,4695,0.516,2424,2011
MEM,MEM,1691,441,2391,6801,0.471,3200,1981,0.75,1486,82,19880,Memphis Grizzlies,970,1724,505,2387,6489,0.457,2967,1948,0.761,1482,905,1754,8003,613,1592,0.369,587,3292,1367,4897,0.486,2380,1705,8195,12,771,926,0.334,309,3361,1145,5875,0.492,2891,2011
IND,IND,1611,456,2657,6787,0.442,3003,2035,0.782,1592,82,19780,Indiana Pacers,914,1670,467,2618,6837,0.449,3071,2157,0.75,1618,931,1758,8271,615,1423,0.359,511,3549,1143,5414,0.473,2560,1782,8183,13,584,1653,0.354,585,3571,1262,5134,0.471,2418,2011
UTA,UTA,1921,484,2338,6590,0.465,3064,2061,0.771,1590,82,19880,Utah Jazz,898,1700,411,2426,6460,0.459,2967,2285,0.778,1777,925,1802,8303,609,1573,0.376,592,3351,1199,4887,0.486,2375,1865,8153,14,629,1256,0.346,435,3236,1175,5334,0.493,2629,2011
SAC,SAC,1675,391,2526,6979,0.449,3134,1981,0.734,1455,82,19855,Sacramento Kings,1071,1779,464,2508,6826,0.478,3260,2085,0.762,1589,868,1723,8589,666,1353,0.355,480,3376,1204,5473,0.508,2780,1805,8151,15,608,1277,0.335,428,3597,1324,5702,0.475,2706,2011
ORL,ORL,1636,384,2679,6411,0.461,2956,2101,0.692,1453,82,19830,Orlando Magic,864,1646,310,2450,6569,0.436,2865,1940,0.743,1441,805,1791,7687,606,1476,0.35,516,3255,1136,5093,0.461,2349,1640,8135,16,548,2103,0.366,770,3543,1224,4308,0.507,2186,2011
TOR,TOR,1795,350,2343,6755,0.465,3144,1976,0.755,1491,82,19780,Toronto Raptors,963,1854,456,2457,6668,0.482,3213,2175,0.769,1672,912,1620,8639,625,1438,0.376,541,3369,1141,5230,0.511,2672,1807,8124,17,581,1091,0.316,345,3306,1206,5664,0.494,2799,2011
PHI,PHI,1861,355,2578,6776,0.461,3125,1851,0.77,1426,82,19930,Philadelphia 76ers,850,1762,376,2608,6638,0.451,2996,1987,0.773,1536,881,1544,7996,583,1375,0.34,468,3489,1168,5263,0.48,2528,1592,8119,18,621,1248,0.355,443,3428,1063,5528,0.485,2682,2011
LAC,LAC,1813,402,2501,6594,0.457,3015,2187,0.707,1546,82,19855,Los Angeles Clippers,955,1827,404,2410,6688,0.455,3046,2167,0.771,1670,914,1811,8346,659,1598,0.365,584,3324,1125,5090,0.484,2462,1733,8089,19,585,1519,0.338,513,3456,1343,5075,0.493,2502,2011
CHI,CHI,1827,468,2654,6587,0.462,3042,2008,0.743,1492,82,19830,Chicago Bulls,967,1556,477,2322,6523,0.43,2805,1898,0.764,1450,828,1645,7487,568,1308,0.326,427,3150,1159,5215,0.456,2378,1639,8087,20,592,1415,0.361,511,3621,1161,5172,0.489,2531,2011
WAS,WAS,1592,502,2374,6888,0.443,3048,1999,0.745,1489,82,19930,Washington Wizards,1013,1898,413,2607,6741,0.471,3174,2202,0.761,1676,994,1662,8584,624,1500,0.373,560,3601,1293,5241,0.499,2614,1850,7977,21,665,1182,0.332,392,3387,1258,5706,0.465,2656,2011
DET,DET,1730,328,2236,6647,0.46,3056,1854,0.737,1367,82,19880,Detroit Pistons,931,1910,381,2470,6405,0.486,3110,1962,0.766,1503,866,1545,8246,568,1461,0.358,523,3336,1160,4944,0.523,2587,1629,7951,22,595,1256,0.376,472,3167,1067,5391,0.479,2584,2011
BOS,BOS,1921,344,2542,6219,0.486,3023,1895,0.77,1459,82,19780,Boston Celtics,639,1533,364,2387,6371,0.434,2768,1975,0.756,1494,862,1659,7473,574,1304,0.34,443,3249,1262,5067,0.459,2325,1678,7913,23,676,1119,0.365,408,3181,1195,5100,0.513,2615,2011
POR,POR,1736,358,2230,6599,0.447,2951,1835,0.804,1476,82,19805,Portland Trail Blazers,996,1573,339,2385,6218,0.467,2904,1869,0.767,1434,868,1743,7771,566,1440,0.367,529,3253,1286,4778,0.497,2375,1585,7896,24,660,1503,0.345,518,3226,1070,5096,0.477,2433,2011
CLE,CLE,1720,341,2449,6647,0.434,2886,2075,0.745,1546,82,19755,Cleveland Cavaliers,856,1984,489,2676,6804,0.475,3232,1894,0.759,1438,894,1747,8566,619,1614,0.411,664,3570,1111,5190,0.495,2568,1648,7827,25,544,1489,0.342,509,3305,1166,5158,0.461,2377,2011
ATL,ATL,1802,341,2460,6429,0.462,2971,1728,0.779,1346,82,19730,Atlanta Hawks,762,1751,348,2488,6537,0.46,3009,1782,0.774,1380,839,1517,7857,548,1358,0.338,459,3327,1026,5179,0.492,2550,1554,7790,26,497,1427,0.352,502,3222,1118,5002,0.494,2469,2011
NOH,NOH,1691,359,2468,6416,0.459,2944,1897,0.765,1452,82,19830,New Orleans Hornets,824,1739,396,2457,6306,0.457,2882,1805,0.77,1390,769,1674,7711,497,1562,0.357,557,3226,1192,4744,0.49,2325,1719,7784,27,624,1232,0.36,444,3292,1069,5184,0.482,2500,2011
NJN,NJN,1723,384,2440,6638,0.44,2918,1881,0.759,1427,82,20005,New Jersey Nets,909,1824,375,2575,6602,0.465,3069,2115,0.751,1589,849,1638,8234,561,1393,0.364,507,3424,1010,5209,0.492,2562,1807,7722,28,458,1337,0.343,459,3349,1152,5301,0.464,2459,2011
CHA,CHA,1728,433,2444,6365,0.451,2873,1999,0.756,1511,82,19805,Charlotte Bobcats,848,1777,496,2446,6492,0.455,2956,1908,0.78,1489,804,1730,7978,601,1609,0.359,577,3250,1082,4883,0.487,2379,1637,7650,29,524,1203,0.327,393,3292,1192,5162,0.48,2480,2011
MIL,MIL,1545,399,2480,6544,0.43,2814,1881,0.757,1423,82,19830,Milwaukee Bucks,862,1657,392,2629,6342,0.447,2834,1946,0.77,1498,836,1694,7603,507,1309,0.334,437,3465,1245,5033,0.476,2397,1682,7534,30,617,1414,0.342,483,3342,1103,5130,0.454,2331,2011
DEN,DEN,1581,330,2105,5404,0.476,2572,1760,0.735,1293,66,16040,Denver Nuggets,738,1528,439,1928,5569,0.456,2541,1356,0.759,1029,730,1452,6682,524,1489,0.383,571,2658,1028,4080,0.483,1970,1297,6872,1,540,1311,0.332,435,2843,1015,4093,0.522,2137,2012
SAS,SAS,1528,293,2153,5463,0.478,2611,1427,0.748,1067,66,15940,San Antonio Spurs,683,1291,330,2039,5560,0.452,2512,1233,0.756,932,680,1244,6368,489,1166,0.353,412,2719,906,4394,0.478,2100,1143,6841,2,490,1405,0.393,552,2836,895,4058,0.507,2059,2012
OKC,OKC,1224,539,2157,5229,0.471,2462,1744,0.806,1406,66,15990,Oklahoma City Thunder,726,1312,321,1889,5629,0.427,2405,1519,0.768,1167,835,1322,6398,542,1231,0.342,421,2724,937,4398,0.451,1984,1352,6802,3,498,1317,0.358,472,2883,1079,3912,0.509,1990,2012
UTA,UTA,1439,385,2055,5531,0.456,2523,1668,0.754,1258,66,16165,Utah Jazz,861,1355,375,1988,5310,0.453,2403,1727,0.754,1302,728,1366,6536,494,1259,0.34,428,2716,968,4051,0.488,1975,1441,6577,4,545,845,0.323,273,2916,936,4686,0.48,2250,2012
MIL,MIL,1550,335,1983,5652,0.443,2502,1415,0.774,1095,66,15865,Milwaukee Bucks,820,1433,297,2138,5453,0.449,2449,1535,0.769,1181,813,1278,6517,499,1247,0.351,438,2951,1049,4206,0.478,2011,1273,6535,5,548,1265,0.345,436,2803,929,4387,0.471,2066,2012
SAC,SAC,1271,323,1947,5712,0.436,2490,1532,0.736,1127,66,15915,Sacramento Kings,882,1571,423,2154,5609,0.476,2668,1468,0.762,1118,815,1313,6893,518,1236,0.355,439,2969,1014,4373,0.51,2229,1287,6518,6,561,1301,0.316,411,2829,952,4411,0.471,2079,2012
MIA,MIA,1317,355,2060,5212,0.469,2446,1598,0.775,1238,66,16040,Miami Heat,686,1297,280,1897,5267,0.434,2285,1457,0.725,1056,727,1356,6105,549,1318,0.363,479,2624,1107,3949,0.457,1806,1282,6500,7,585,1030,0.359,370,2746,1002,4182,0.496,2076,2012
PHO,PHO,1486,366,2035,5445,0.458,2495,1397,0.757,1058,66,15840,Phoenix Suns,717,1416,288,2064,5510,0.455,2505,1444,0.762,1100,802,1293,6508,526,1131,0.352,398,2866,929,4379,0.481,2107,1233,6492,8,431,1295,0.343,444,2752,928,4150,0.494,2051,2012
HOU,HOU,1404,319,2014,5543,0.449,2489,1301,0.782,1018,66,16065,Houston Rockets,769,1321,340,2027,5427,0.456,2474,1490,0.766,1142,729,1215,6459,495,1136,0.325,369,2756,972,4291,0.491,2105,1347,6474,9,496,1330,0.359,478,2783,955,4213,0.477,2011,2012
MIN,MIN,1290,293,2089,5434,0.433,2355,1662,0.771,1281,66,15940,Minnesota Timberwolves,797,1422,377,2096,5656,0.455,2572,1402,0.755,1059,771,1435,6609,549,1195,0.34,406,2867,875,4461,0.486,2166,1212,6464,10,436,1423,0.332,473,2886,1001,4011,0.469,1882,2012
NYK,NYK,1328,276,2012,5335,0.443,2365,1634,0.741,1211,66,15940,New York Knicks,743,1248,334,2045,5238,0.442,2316,1590,0.736,1171,717,1437,6247,536,1238,0.359,444,2762,1125,4000,0.468,1872,1391,6458,11,622,1538,0.336,517,2755,1056,3797,0.487,1848,2012
GSW,GSW,1470,362,1947,5443,0.457,2489,1235,0.77,951,66,15915,Golden State Warriors,640,1527,328,2157,5431,0.453,2461,1725,0.747,1288,869,1095,6678,499,1281,0.365,468,3026,978,4150,0.48,1993,1410,6453,12,528,1351,0.388,524,2587,915,4092,0.48,1965,2012
