,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year
UTA,UTA,1664,366,2477,6652,0.444,2951,1803,0.747,1346,82,19780,Utah Jazz,904,1788,401,2640,6639,0.473,3138,1945,0.773,1504,846,1673,8379,617,1591,0.376,599,3486,1034,5048,0.503,2539,1699,7791,29,570,1577,0.344,543,3381,1200,5075,0.474,2408,2014
CHI,CHI,1860,424,2683,6577,0.432,2843,1908,0.779,1486,82,19930,Chicago Bulls,937,1604,490,2508,6660,0.43,2867,1668,0.753,1256,876,1714,7528,621,1532,0.351,538,3384,1178,5128,0.454,2329,1565,7680,30,594,1459,0.348,508,3620,1223,5118,0.456,2335,2014
GSW,GSW,2248,496,2814,7137,0.478,3410,1709,0.768,1313,82,19730,Golden State Warriors,853,1718,293,2690,7084,0.428,3031,2011,0.763,1534,963,1541,8188,680,1757,0.337,592,3653,1329,5327,0.458,2439,1628,9016,1,762,2217,0.398,883,3667,1185,4920,0.514,2527,2015
LAC,LAC,2031,409,2711,6830,0.473,3228,2067,0.71,1468,82,19730,Los Angeles Clippers,784,1904,245,2649,6745,0.442,2984,2105,0.741,1560,868,1766,8211,548,1959,0.349,683,3517,1171,4786,0.481,2301,1749,8751,2,640,2202,0.376,827,3495,1012,4628,0.519,2401,2015
DAL,DAL,1846,371,2608,7036,0.463,3255,1843,0.752,1386,82,19880,Dallas Mavericks,858,1830,314,2778,6930,0.45,3117,1879,0.753,1415,1006,1816,8390,602,2034,0.364,741,3784,1339,4896,0.485,2376,1644,8628,3,663,2082,0.352,732,3466,1062,4954,0.509,2523,2015
TOR,TOR,1701,357,2526,6829,0.455,3108,2014,0.787,1585,82,19855,Toronto Raptors,881,1870,413,2559,6787,0.459,3116,1923,0.733,1410,922,1668,8275,567,1828,0.346,633,3481,1182,4959,0.501,2483,1712,8527,4,615,2060,0.352,726,3407,1057,4769,0.499,2382,2015
OKC,OKC,1681,454,2844,7119,0.447,3184,2020,0.754,1524,82,19830,Oklahoma City Thunder,1052,1815,377,2587,7008,0.44,3085,2005,0.745,1494,917,1675,8345,642,1984,0.343,681,3504,1118,5024,0.479,2404,1829,8524,5,598,1864,0.339,632,3896,1205,5255,0.486,2552,2015
HOU,HOU,1820,407,2624,6832,0.444,3032,2133,0.715,1525,82,19805,Houston Rockets,958,1752,437,2621,6983,0.443,3092,1932,0.751,1451,973,1730,8240,726,1881,0.322,605,3594,1342,5102,0.487,2487,1803,8522,6,777,2680,0.348,933,3582,1366,4152,0.506,2099,2015
SAS,SAS,2000,444,2772,6854,0.468,3208,1754,0.78,1368,82,19955,San Antonio Spurs,806,1699,362,2643,6861,0.444,3044,1754,0.745,1307,813,1613,7953,648,1550,0.36,558,3456,1167,5311,0.468,2486,1564,8461,7,657,1847,0.367,677,3578,1146,5007,0.505,2531,2015
CLE,CLE,1814,340,2612,6739,0.458,3089,1934,0.751,1453,82,19780,Cleveland Cavaliers,911,1974,368,2487,6850,0.456,3121,1629,0.745,1214,885,1685,8090,642,1848,0.343,634,3372,1092,5002,0.497,2487,1510,8457,8,603,2253,0.367,826,3523,1171,4486,0.504,2263,2015
POR,POR,1799,372,2881,7049,0.45,3175,1589,0.801,1272,82,19855,Portland Trail Blazers,879,1669,297,2754,7123,0.439,3130,1713,0.758,1298,902,1534,8082,655,1552,0.338,524,3656,999,5571,0.468,2606,1494,8429,9,525,2231,0.362,807,3760,1117,4818,0.491,2368,2015
ATL,ATL,2111,380,2611,6699,0.466,3121,1735,0.778,1349,82,19730,Atlanta Hawks,715,1931,404,2631,6815,0.439,2991,1651,0.764,1262,948,1611,7964,604,2112,0.341,720,3579,1317,4703,0.483,2271,1457,8409,10,744,2152,0.38,818,3326,1167,4547,0.506,2303,2015
PHO,PHO,1659,385,2643,7038,0.452,3178,1767,0.76,1343,82,19880,Phoenix Suns,896,1734,337,2766,6972,0.452,3149,2030,0.759,1540,951,1664,8471,651,1798,0.352,633,3717,1276,5174,0.486,2516,1744,8397,11,700,2048,0.341,698,3539,1238,4990,0.497,2480,2015
DEN,DEN,1788,367,2653,7158,0.433,3099,1991,0.734,1462,82,19880,Denver Nuggets,1012,1894,504,2798,6909,0.458,3164,2208,0.748,1652,899,1698,8611,611,1823,0.346,631,3697,1177,5086,0.498,2533,1882,8320,12,641,2032,0.325,660,3665,1166,5126,0.476,2439,2015
BOS,BOS,2009,294,2685,7211,0.443,3193,1678,0.754,1266,82,19880,Boston Celtics,910,1798,431,2772,6943,0.45,3125,1909,0.755,1442,893,1545,8299,583,1804,0.336,607,3665,1239,5139,0.49,2518,1738,8312,13,674,2021,0.327,660,3595,1133,5190,0.488,2533,2015
SAC,SAC,1667,324,2728,6617,0.455,3010,2400,0.762,1829,82,19855,Sacramento Kings,895,1912,508,2479,7094,0.456,3238,1898,0.748,1420,898,1958,8614,712,2055,0.349,718,3377,1059,5039,0.5,2520,1696,8310,14,550,1350,0.341,461,3623,1333,5267,0.484,2549,2015
CHI,CHI,1781,476,2792,6797,0.442,3001,2067,0.783,1618,82,19880,Chicago Bulls,959,1657,443,2598,7109,0.435,3095,1723,0.749,1291,963,1736,8019,614,1605,0.335,538,3561,1000,5504,0.465,2557,1495,8265,15,514,1825,0.353,645,3751,1145,4972,0.474,2356,2015
NOP,NOP,1806,510,2621,6795,0.457,3108,1790,0.751,1345,82,19780,New Orleans Pelicans,942,1700,475,2537,6814,0.456,3108,1751,0.759,1329,870,1533,8082,555,1605,0.335,537,3407,1003,5209,0.494,2571,1530,8147,16,553,1583,0.37,586,3563,1087,5212,0.484,2522,2015
WAS,WAS,1969,378,2801,6790,0.462,3139,1758,0.742,1305,82,19955,Washington Wizards,862,1634,350,2599,6844,0.433,2965,1942,0.738,1434,821,1610,8021,655,1885,0.349,657,3420,1145,4959,0.465,2308,1707,8080,17,601,1381,0.36,497,3663,1233,5409,0.488,2642,2015
DET,DET,1771,383,2630,7038,0.432,3041,1838,0.703,1292,82,19830,Detroit Pistons,1051,1949,391,2740,6817,0.456,3106,1699,0.772,1312,877,1584,8159,572,1789,0.355,635,3617,1146,5028,0.491,2471,1559,8077,18,623,2043,0.344,703,3681,1099,4995,0.468,2338,2015
LAL,LAL,1715,366,2647,7020,0.435,3054,1935,0.741,1433,82,19930,Los Angeles Lakers,952,1966,396,2797,6817,0.466,3180,2118,0.745,1577,824,1589,8634,611,1921,0.363,697,3621,1068,4896,0.507,2483,1741,8073,19,578,1546,0.344,532,3599,1086,5474,0.461,2522,2015
MEM,MEM,1777,347,2634,6763,0.458,3097,1869,0.773,1445,82,19905,Memphis Grizzlies,856,1652,424,2616,6684,0.442,2954,1651,0.742,1225,864,1662,7796,604,1889,0.351,663,3480,1257,4795,0.478,2291,1567,8062,20,700,1246,0.339,423,3490,1094,5517,0.485,2674,2015
BRK,BRK,1716,340,2627,6804,0.451,3069,1817,0.748,1359,82,19930,Brooklyn Nets,846,1944,372,2699,6913,0.456,3150,1748,0.731,1278,937,1641,8274,643,1944,0.358,696,3636,1137,4969,0.494,2454,1579,8038,21,576,1633,0.331,541,3473,1133,5171,0.489,2528,2015
MIL,MIL,1932,403,2574,6722,0.459,3083,1734,0.757,1312,82,19930,Milwaukee Bucks,876,1831,392,2576,6681,0.437,2917,1993,0.742,1478,938,1649,7988,708,1974,0.342,676,3514,1425,4707,0.476,2241,1814,8023,22,789,1500,0.363,545,3450,1373,5222,0.486,2538,2015
MIN,MIN,1771,327,2406,6820,0.438,2986,2110,0.776,1638,82,19805,Minnesota Timberwolves,949,1933,449,2619,6933,0.487,3373,1704,0.759,1294,953,1751,8737,686,1897,0.367,697,3572,1243,5036,0.531,2676,1571,8016,23,668,1223,0.332,406,3355,1231,5597,0.461,2580,2015
IND,IND,1757,375,2822,6824,0.439,2998,1817,0.756,1373,82,19855,Indiana Pacers,856,1633,386,2704,6784,0.435,2949,1951,0.753,1469,800,1754,7958,617,1713,0.345,591,3504,1045,5071,0.465,2358,1742,7981,24,505,1740,0.352,612,3678,1147,5084,0.469,2386,2015
ORL,ORL,1692,314,2607,6792,0.453,3076,1565,0.729,1141,82,19755,Orlando Magic,822,1921,441,2739,6720,0.463,3112,1878,0.751,1410,825,1467,8316,635,1853,0.368,682,3564,1185,4867,0.499,2430,1714,7847,25,647,1598,0.347,554,3429,1221,5194,0.486,2522,2015
UTA,UTA,1632,489,2617,6492,0.447,2900,1929,0.721,1391,82,19705,Utah Jazz,988,1594,382,2406,6587,0.446,2935,1760,0.744,1309,811,1604,7783,674,1670,0.362,604,3217,1076,4917,0.474,2331,1583,7801,26,623,1781,0.343,610,3605,1256,4711,0.486,2290,2015
MIA,MIA,1626,372,2461,6330,0.456,2885,1940,0.741,1438,82,19730,Miami Heat,747,1748,359,2467,6523,0.454,2960,1905,0.73,1391,894,1715,7977,646,1887,0.353,666,3361,1215,4636,0.495,2294,1636,7764,27,642,1659,0.335,556,3208,1214,4671,0.499,2329,2015
CHO,CHO,1654,448,2793,6932,0.42,2913,1867,0.748,1397,82,19905,Charlotte Hornets,820,1815,440,2890,6863,0.44,3020,1673,0.772,1292,728,1708,7981,502,1816,0.357,649,3618,1033,5047,0.47,2371,1494,7721,28,499,1566,0.318,498,3613,976,5366,0.45,2415,2015
PHI,PHI,1683,487,2536,6777,0.408,2765,1953,0.676,1320,82,19805,Philadelphia 76ers,978,1942,454,2853,6785,0.449,3045,2023,0.756,1530,940,1657,8278,779,1879,0.35,658,3793,1374,4906,0.487,2387,1778,7542,29,789,2160,0.32,692,3514,1453,4617,0.449,2073,2015
NYK,NYK,1746,382,2443,6726,0.428,2882,1575,0.769,1211,82,19855,New York Knicks,867,1783,353,2669,6592,0.46,3031,2032,0.759,1543,898,1564,8299,659,1825,0.38,694,3567,1153,4767,0.49,2337,1768,7535,30,575,1614,0.347,560,3310,1206,5112,0.454,2322,2015
GSW,GSW,2373,498,2972,7159,0.487,3489,1790,0.763,1366,82,19880,Golden State Warriors,816,1823,336,2662,7330,0.435,3188,2013,0.757,1523,937,1627,8539,710,1928,0.332,640,3599,1185,5402,0.472,2548,1701,9421,1,689,2592,0.416,1077,3788,1245,4567,0.528,2412,2016
OKC,OKC,1883,487,2916,7082,0.476,3372,2067,0.782,1616,82,19830,Oklahoma City Thunder,1071,1767,373,2373,7192,0.438,3150,1950,0.756,1474,923,1653,8441,719,1949,0.342,667,3296,1068,5243,0.474,2483,1691,9038,2,603,1945,0.349,678,3987,1305,5137,0.524,2694,2016
SAC,SAC,2009,368,2760,7083,0.464,3283,2089,0.725,1514,82,19805,Sacramento Kings,868,1986,437,2765,7194,0.462,3327,1902,0.762,1450,926,1800,8943,722,2293,0.366,839,3691,1308,4901,0.508,2488,1676,8740,3,733,1839,0.359,660,3628,1326,5244,0.5,2623,2016
HOU,HOU,1821,430,2601,6847,0.452,3094,2407,0.694,1671,82,19830,Houston Rockets,930,2015,404,2690,6977,0.459,3200,2018,0.756,1525,970,1847,8721,734,2206,0.361,796,3660,1360,4771,0.504,2404,1790,8737,4,821,2533,0.347,878,3531,1307,4314,0.514,2216,2016
BOS,BOS,1981,348,2733,7318,0.439,3216,1929,0.788,1520,82,19780,Boston Celtics,950,1715,450,2838,6973,0.441,3075,2136,0.755,1613,932,1718,8406,622,1912,0.336,643,3770,1348,5061,0.481,2432,1796,8669,5,752,2142,0.335,717,3683,1127,5176,0.483,2499,2016
POR,POR,1748,380,2782,7040,0.45,3167,1889,0.754,1424,82,19805,Portland Trail Blazers,948,1770,424,2716,6945,0.453,3146,2129,0.734,1562,867,1597,8554,630,1888,0.371,700,3583,1088,5057,0.484,2446,1782,8622,6,562,2336,0.37,864,3730,1200,4704,0.49,2303,2016
LAC,LAC,1873,460,2727,6759,0.465,3141,2152,0.692,1490,82,19830,Los Angeles Clippers,721,1740,259,2861,6946,0.434,3015,2055,0.751,1543,968,1842,8218,583,1909,0.338,645,3829,1260,5037,0.471,2370,1746,8569,7,709,2190,0.364,797,3448,1063,4569,0.513,2344,2016
CLE,CLE,1861,317,2777,6888,0.46,3171,1783,0.748,1333,82,19855,Cleveland Cavaliers,873,1756,362,2604,6736,0.448,3019,1855,0.743,1378,760,1690,8063,590,1862,0.347,647,3364,1092,4874,0.487,2372,1666,8555,8,551,2428,0.362,880,3650,1114,4460,0.514,2291,2016
WAS,WAS,2005,323,2688,7033,0.46,3238,1849,0.73,1349,82,19755,Washington Wizards,743,1846,356,2858,6868,0.462,3170,1947,0.769,1498,773,1651,8575,661,1987,0.371,737,3631,1325,4881,0.498,2433,1708,8534,9,708,1983,0.358,709,3431,1186,5050,0.501,2529,2016
SAS,SAS,2010,485,2831,6797,0.484,3289,1672,0.803,1342,82,19705,San Antonio Spurs,770,1707,317,2576,6709,0.436,2928,1611,0.758,1221,747,1597,7618,592,1634,0.331,541,3323,1214,5075,0.47,2387,1433,8490,10,677,1518,0.375,570,3601,1071,5279,0.515,2719,2016
CHO,CHO,1778,438,2869,6922,0.439,3036,1941,0.79,1534,82,19855,Charlotte Hornets,734,1901,448,2936,6971,0.444,3098,1735,0.769,1334,726,1670,8256,553,2081,0.349,726,3662,1103,4890,0.485,2372,1487,8479,11,595,2410,0.362,873,3603,1030,4512,0.479,2163,2016
ATL,ATL,2100,486,2772,6923,0.458,3168,1638,0.783,1282,82,19830,Atlanta Hawks,679,1808,411,2869,7058,0.432,3046,1810,0.755,1366,944,1500,8137,706,2008,0.338,679,3813,1324,5050,0.469,2367,1570,8433,12,747,2326,0.35,815,3451,1226,4597,0.512,2353,2016
NOP,NOP,1818,342,2712,7040,0.448,3153,1823,0.776,1415,82,19780,New Orleans Pelicans,782,1899,423,2912,6877,0.468,3218,1972,0.783,1544,730,1630,8734,602,2043,0.369,754,3642,1127,4834,0.51,2464,1713,8423,13,633,1951,0.36,702,3494,1102,5089,0.482,2451,2016
TOR,TOR,1536,449,2724,6669,0.451,3006,2190,0.777,1702,82,19780,Toronto Raptors,836,1781,442,2561,6732,0.444,2991,1809,0.748,1354,782,1801,8053,534,1922,0.373,717,3343,1094,4810,0.473,2274,1610,8422,14,636,1915,0.37,708,3560,1073,4754,0.483,2298,2016
MIN,MIN,1916,375,2587,6668,0.464,3095,2213,0.792,1753,82,19880,Minnesota Timberwolves,821,1857,427,2558,6962,0.471,3276,1842,0.757,1394,877,1768,8688,638,2089,0.355,742,3435,1220,4873,0.52,2534,1696,8398,15,656,1347,0.338,455,3408,1231,5321,0.496,2640,2016
DAL,DAL,1813,306,2781,6900,0.444,3064,1831,0.794,1454,82,20005,Dallas Mavericks,751,1800,363,2887,6971,0.451,3144,1873,0.738,1382,868,1757,8413,617,2170,0.342,743,3755,1142,4801,0.5,2401,1595,8388,16,560,2342,0.344,806,3532,1047,4558,0.495,2258,2016
IND,IND,1741,391,2779,6985,0.45,3142,1872,0.764,1430,82,19880,Indiana Pacers,847,1707,366,2774,6962,0.44,3065,1901,0.751,1428,877,1676,8237,634,2035,0.334,679,3651,1297,4927,0.484,2386,1641,8377,17,742,1889,0.351,663,3626,1219,5096,0.486,2479,2016
ORL,ORL,1933,417,2709,7120,0.455,3242,1649,0.757,1249,82,19905,Orlando Magic,843,1899,448,2800,6850,0.46,3150,1971,0.746,1470,832,1497,8502,620,2041,0.359,732,3632,1240,4809,0.503,2418,1701,8369,18,673,1818,0.35,636,3552,1155,5302,0.492,2606,2016
DET,DET,1594,304,2777,7087,0.439,3111,2095,0.668,1399,82,19880,Detroit Pistons,1021,1766,366,2763,6903,0.461,3182,1726,0.783,1351,725,1773,8311,583,1679,0.355,596,3488,1099,5224,0.495,2586,1557,8361,19,573,2148,0.345,740,3798,1110,4939,0.48,2371,2016
DEN,DEN,1858,395,2718,7003,0.442,3093,1974,0.766,1513,82,19830,Denver Nuggets,941,1924,517,2700,6904,0.461,3182,1958,0.761,1491,799,1712,8609,660,2033,0.371,754,3499,1122,4871,0.498,2428,1723,8355,20,609,1943,0.338,656,3659,1202,5060,0.482,2437,2016
CHI,CHI,1870,470,2889,7170,0.441,3165,1720,0.787,1354,82,19905,Chicago Bulls,907,1848,465,2798,7333,0.441,3234,1813,0.737,1337,969,1535,8456,655,1885,0.345,651,3767,974,5448,0.474,2583,1545,8335,21,495,1753,0.371,651,3796,1141,5417,0.464,2514,2016
PHO,PHO,1701,313,2733,7018,0.435,3051,1905,0.751,1431,82,19705,Phoenix Suns,943,1837,449,2770,6870,0.467,3208,2177,0.749,1631,813,1770,8817,782,2041,0.377,770,3583,1224,4829,0.505,2438,1858,8271,22,632,2118,0.348,738,3676,1410,4900,0.472,2313,2016
MIA,MIA,1709,531,2811,6697,0.47,3150,1889,0.744,1406,82,19830,Miami Heat,807,1657,337,2580,6914,0.442,3054,1761,0.77,1356,803,1608,8069,612,1742,0.347,605,3383,1060,5172,0.474,2449,1502,8204,23,553,1480,0.336,498,3618,1155,5217,0.508,2652,2016
MEM,MEM,1697,350,2497,6859,0.44,3019,2024,0.783,1584,82,19830,Memphis Grizzlies,916,1792,469,2711,6459,0.456,2947,2107,0.768,1619,830,1732,8310,576,2185,0.365,797,3541,1328,4274,0.503,2150,1783,8126,24,724,1521,0.331,504,3413,1090,5338,0.471,2515,2016
MIL,MIL,1895,475,2559,6740,0.467,3145,1863,0.747,1392,82,19830,Milwaukee Bucks,858,2013,462,2583,6817,0.454,3097,1961,0.768,1506,942,1600,8465,679,2171,0.352,765,3525,1269,4646,0.502,2332,1695,8122,25,672,1277,0.345,440,3417,1247,5463,0.495,2705,2016
BRK,BRK,1829,332,2614,6920,0.453,3136,1699,0.757,1286,82,19755,Brooklyn Nets,863,2006,430,2719,6984,0.479,3345,1608,0.763,1227,840,1510,8692,720,2100,0.369,775,3559,1162,4884,0.526,2570,1476,8089,26,627,1508,0.352,531,3477,1212,5412,0.481,2605,2016
NYK,NYK,1682,466,2788,6886,0.439,3022,1753,0.805,1411,82,19805,New York Knicks,850,1703,343,2733,7035,0.443,3114,1904,0.754,1435,890,1520,8289,589,1838,0.341,626,3623,927,5197,0.479,2488,1616,8065,27,467,1762,0.346,610,3638,1099,5124,0.471,2412,2016
UTA,UTA,1555,425,2665,6593,0.449,2957,1885,0.744,1402,82,19955,Utah Jazz,880,1568,385,2522,6549,0.446,2920,1842,0.746,1374,764,1629,7863,652,1819,0.357,649,3286,1146,4730,0.48,2271,1655,8010,28,631,1956,0.355,694,3545,1224,4637,0.488,2263,2016
PHI,PHI,1765,495,2605,6887,0.431,2970,1850,0.694,1284,82,19805,Philadelphia 76ers,777,1919,466,2987,7005,0.464,3253,2141,0.786,1683,913,1571,8827,711,1776,0.359,638,3900,1241,5229,0.5,2615,1780,7988,29,680,2255,0.339,764,3382,1343,4632,0.476,2206,2016
LAL,LAL,1478,337,2645,6956,0.414,2880,2028,0.781,1583,82,19730,Los Angeles Lakers,878,2022,458,2915,7023,0.473,3323,1942,0.731,1420,897,1573,8766,617,2016,0.347,700,3812,1037,5007,0.524,2623,1662,7982,30,593,2016,0.317,639,3523,1124,4940,0.454,2241,2016
GSW,GSW,2491,555,2873,7140,0.495,3532,1850,0.788,1457,82,19780,Golden State Warriors,770,1862,313,2604,7311,0.435,3181,1905,0.761,1450,963,1588,8549,705,2277,0.324,737,3567,1272,5034,0.485,2444,1585,9503,1,785,2562,0.383,982,3643,1211,4578,0.557,2550,2017
HOU,HOU,2070,352,2746,7152,0.462,3305,2177,0.766,1667,82,19780,Houston Rockets,892,1979,409,2735,7286,0.463,3375,1819,0.778,1415,878,1674,8985,697,2389,0.343,820,3613,1235,4897,0.522,2555,1634,9458,2,670,3306,0.357,1181,3638,1240,3846,0.552,2124,2017
DEN,DEN,2077,323,2837,7194,0.469,3377,1986,0.774,1537,82,19755,Denver Nuggets,966,1972,404,2576,7248,0.477,3454,1794,0.782,1403,770,1653,9119,681,2153,0.375,808,3346,982,5095,0.519,2646,1567,9161,3,568,2365,0.368,870,3803,1226,4829,0.519,2507,2017
CLE,CLE,1858,327,2821,6963,0.47,3275,1913,0.748,1431,82,19880,Cleveland Cavaliers,766,2024,349,2724,7284,0.458,3333,1644,0.773,1271,902,1690,8787,598,2353,0.361,850,3626,1033,4931,0.504,2483,1486,9048,4,539,2779,0.384,1067,3587,1121,4184,0.528,2208,2017
WAS,WAS,1956,336,2671,7137,0.475,3388,1812,0.784,1421,82,19855,Washington Wizards,843,1870,377,2661,6978,0.466,3253,1982,0.751,1489,868,1621,8805,606,2224,0.364,810,3529,1257,4754,0.514,2443,1745,8953,5,693,2030,0.372,756,3514,1162,5107,0.515,2632,2017
LAC,LAC,1848,347,2790,6820,0.475,3242,2128,0.745,1586,82,19755,Los Angeles Clippers,738,1891,258,2700,6999,0.452,3163,1917,0.772,1480,837,1835,8559,577,2154,0.35,753,3537,1084,4845,0.497,2410,1626,8911,6,612,2245,0.375,841,3528,1062,4575,0.525,2401,2017
BOS,BOS,2069,340,2698,6978,0.454,3168,1903,0.807,1536,82,19755,Boston Celtics,744,1851,425,2769,7035,0.45,3168,2042,0.769,1570,883,1664,8641,623,2213,0.332,735,3652,1141,4822,0.505,2433,1686,8857,7,617,2742,0.359,985,3442,1088,4236,0.515,2183,2017
POR,POR,1733,408,2750,7059,0.459,3243,1940,0.78,1513,82,19930,Portland Trail Blazers,830,1688,431,2778,7069,0.455,3213,2173,0.785,1706,830,1624,8894,633,2058,0.37,762,3608,1052,5011,0.489,2451,1736,8851,8,574,2272,0.375,852,3580,1126,4787,0.499,2391,2017
PHO,PHO,1604,399,2712,7260,0.45,3270,2159,0.776,1676,82,19830,Phoenix Suns,976,1818,435,2772,7070,0.467,3300,2387,0.783,1868,840,1822,9293,663,2159,0.382,825,3612,1222,4911,0.504,2475,2030,8831,9,673,1854,0.332,615,3688,1265,5406,0.491,2655,2017
TOR,TOR,1517,400,2676,6918,0.464,3211,2028,0.796,1615,82,19780,Toronto Raptors,871,1786,392,2619,6801,0.449,3052,1948,0.78,1519,831,1666,8417,547,2240,0.354,794,3450,1200,4561,0.495,2258,1708,8762,10,677,1996,0.363,725,3547,1041,4922,0.505,2486,2017
OKC,OKC,1721,408,2821,7169,0.452,3237,2113,0.745,1575,82,19805,Oklahoma City Thunder,1002,1758,450,2583,6998,0.459,3215,1996,0.764,1525,750,1697,8679,698,2036,0.356,724,3333,1129,4962,0.502,2491,1715,8741,11,648,2116,0.327,692,3823,1230,5053,0.504,2545,2017
BRK,BRK,1756,387,2879,6987,0.444,3102,2020,0.788,1592,82,19755,Brooklyn Nets,721,1888,457,2965,7449,0.458,3414,2049,0.772,1581,902,1671,9225,780,2232,0.366,816,3867,1092,5217,0.498,2598,1726,8673,12,593,2591,0.338,877,3600,1356,4396,0.506,2225,2017
MIN,MIN,1940,370,2540,6922,0.467,3235,1986,0.799,1586,82,19805,Minnesota Timberwolves,938,1896,413,2508,6829,0.475,3246,1881,0.768,1445,806,1681,8748,629,2213,0.366,811,3314,1169,4616,0.528,2435,1646,8657,13,654,1723,0.349,601,3478,1150,5199,0.507,2634,2017
